id,name,birthday,birthplace,thumb,summary
11,Harry Cohn,1891-07-23,"New York, New York, USA",https://resizing.flixster.com/URSVJxe8fST2n2A1Y89iMRzhMvE=/218x280/v2/https://flxt.tmsimg.com/assets/320471_v9_ba.jpg,
12,Louis Silvers,1889-09-06,"New York, New York, USA",/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,"Louis Silvers worked on a variety of projects during his entertainment career. Silvers worked on a variety of projects during his early entertainment career, including ""Gold Diggers of Broadway"" (1929) starring Nancy Welford, ""Noah's Ark"" with Dolores Costello (1929) and ""Sonny Boy"" (1929). He also contributed to ""The Barker"" (1928),  ""The Singing Fool"" (1928) and ""Way Down East"" (1921). Silvers won a Music (Scoring) Academy Award for ""One Night of Love"" in 1934. Silvers was nominated for a Music (Scoring) Academy Award for ""In Old Chicago"" in 1937 as well as for a Music (Scoring) Academy Award for ""Swanee River"" in 1939. In the thirties, Silvers devoted his time to various credits, such as ""The Poor Little Rich Girl"" (1936), ""The Prisoner of Shark Island"" (1936) starring Warner Baxter and ""To Mary - With Love"" with Warner Baxter (1936). He also worked on ""Under Two Flags"" (1936) starring Ronald Colman. Silvers was most recently credited in the Sean Hayes comedic adventure ""The Three Stooges""  (2012). In the thirties, Silvers lent his talents to projects like ""Kentucky Moonshine"" (1938).   Silvers passed away in March 1954 at the age of 65."
13,Joe Walker,,Not Available,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
14,Gene Havlick,1894-03-16,"Enid, Oklahoma, USA",/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
15,Stephen Goosson,1889-03-24,"Grand Rapids, Michigan, USA",/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
16,Robert Kalloch,1893-01-13,"New York, New York, USA",https://resizing.flixster.com/ScNkgOhyIXwt6aYjZJ5kPCAm_5A=/218x280/v2/https://flxt.tmsimg.com/assets/462838_v9_ba.jpg,
17,Orson Welles,5/6/1915,"Kenosha, Wisconsin, USA",https://resizing.flixster.com/QuXPu46SWkJxymme6eJL57tDifE=/218x280/v2/https://flxt.tmsimg.com/assets/49256_v9_ba.jpg,"An undeniable pioneer in both radio and film, actor-director Orson Welles used his bona fide genius to change the face of both mediums with imagination, ambition, and technically daring. Having started off as a performer on stage, most notably with John Houseman, with whom he formed the famed Mercury Theatre, Welles used his distinctive baritone voice to create innovative radio dramas. He became famous - notorious, even - following his 1938 broadcast of H.G. Wells' ""War of the Worlds,"" which he presented as a real time news event, sparking panic among listeners who thought Martians really were invading New Jersey. The fame he achieved in the wake of the broadcast attracted RKO Pictures, where he made the most stunning directorial debut in the history of cinema with ""Citizen Kane"" (1941), long considered to be the greatest film ever made. Using innovative narrative and technological techniques, Welles singlehandedly changed the face of cinema, earning the nickname the Boy Wonder. He went on to direct ""The Magnificent Ambersons"" (1942), though both films were financial failures that prompted his exit from RKO. After marrying Love Goddess Rita Hayworth and directing ""The Stranger"" (1946) and ""Macbeth"" (1948), Welles began a 10-year self-imposed Hollywood exile that saw him appear onscreen in movies like ""The Third Man"" (1949) while directing well-received films overseas like ""Othello"" (1952) and ""Mr. Arkadin"" (1955). He returned to Hollywood to helm ""Touch of Evil"" (1958), a classic film noir, while suffering a commercial drubbing with his adaptation of Franz Kafka's ""The Trial"" (1962). His take on Shakespeare's famed character, Falstaff, in ""Chimes at Midnight"" (1966) again earned international acclaim despite being largely ignored in the United States. Though he fell on hard times in the 1970s, Welles nonetheless remained busy with numerous projects in various stages of completion while appearing onscreen in a number of performances and using his distinctive voice in a variety of narrator roles.  When he died in 1985, Welles left behind a legacy as a consummate artist and true auteur whose influence was profoundly felt by several generations of filmmakers."
18,Joseph Cotten,5/15/1905,"Petersburg, Virginia, USA",https://resizing.flixster.com/21TOhZgz-pT5YnVgahBctNe7XfY=/218x280/v2/https://flxt.tmsimg.com/assets/34238_v9_ba.jpg,"Quietly intense, highly talented member of Orson Welles' Mercury Theater, a former drama critic who went to Hollywood with the director to act (as a drama critic) in ""Citizen Kane"" (1941) and stayed to enjoy success on screen, TV and stage alike over the next four decades. Tall, wavy-haired and gentlemanly, with a trace of a Southern drawl, Cotten developed great versatility during his 1930s stage work which would serve him well in one of the most impressive strings of performances any Hollywood actor achieved in the 1940s."
19,Ruth Warrick,6/29/1916,"St. Joseph, Missouri, USA",https://resizing.flixster.com/qb4j-NpRGDY32A7hyXfNmA8Qb1U=/218x280/v2/https://flxt.tmsimg.com/assets/57254_v9_ba.jpg,"An attractive, talented and intelligent brunette actor, Ruth Warrick has played leading roles with some regularity during her half century career in TV, theater and film. She is, however, perhaps most associated with a series of character roles as middle to upper-class wives. Many were sympathetic, but more vivid were the ones in which her characters were practical, determined and conventional to the point of being frosty and forbidding."
20,Everett Sloane,10/1/1909,"New York, New York, USA",https://resizing.flixster.com/UOfSyHDQQFWJnBmxpCWqj6RrdBw=/218x280/v2/https://flxt.tmsimg.com/assets/20533_v9_ba.jpg,"Incisive, diminutive character actor, often bespectacled, who moved to Hollywood with Orson Welles and the Mercury Theater and is perhaps best remembered for playing Kane's loyal, bespectacled sidekick Bernstein in ""Citizen Kane"" (1941). Also excellent as the corrupt, crippled lawyer in Welles' ""The Lady from Shanghai"" (1948) and also in ""The Men"" (1950) and ""Patterns"" (1955)."
21,Agnes Moorehead,12/6/1900,"Clinton, Massachusetts, USA",https://resizing.flixster.com/lDZX5aF4kgclLZCrG6jA4z53F08=/218x280/v2/https://flxt.tmsimg.com/assets/151805_v9_bb.jpg,"Best known for her role as Endora on the TV series ""Bewitched"" (ABC, 1964-1972), Agnes Moorehead had a career that spanned the mediums of stage, screen and radio. Born in Clinton, Massachusetts, her family relocated to St. Louis, Missouri when Moorehead was a child. During childhood Moorehead began to show a talent for mimicry and expressed a desire to become an actress. Moorehead graduated from Muskingum College in 1923, with a major in biology. During her time at college she appeared in several plays, after which she taught public school for 5 years and earned a master's in public speaking and English at University of Wisconsin-Madison.  When her career began after a course of study at the American Academy of Dramatic Arts, things were shaky for a while. She struggled with unemployment until she got a start in radio, a medium where she excelled. She struggled to breakthrough in film, however, and spent years working in Orson Welles Mercury Players, and her film debut came in ""Citizen Kane"" (1941) when she played the mother of Welles's character. She appeared the following year in ""The Magnificent Ambersons"", and the following year in ""Journey Into Fear"" (1943).  Moorehead went on to play significantly more noticeable roles in films like ""The Big Street"" (1942), ""Mrs. Parkington"" (1944) and ""The Youngest Profession"" (1944). Moorehead was soon under contract to MGM with an atypical clause stipulating that she appear in any radio projects that the studio was working on. Moorehead appeared in a number of television series throughout the late 1950s and early 1960s, but nothing resonated with audiences more than her portrayal of Endora, the witch mother of Elizabeth Montgomery's character Samantha. She was recognized for her work on the show a number of times but always claimed that she felt trapped by the role. Agnes Moorehead died in 1974 from uterine cancer in Rochester, Minnesota."
22,Dorothy Comingore,8/24/1913,"Los Angeles, California, USA",https://resizing.flixster.com/bdoR3uGQl0R0QsCaGY_1Ge5tnG8=/218x280/v2/https://flxt.tmsimg.com/assets/17699_v9_ba.jpg,"Dorothy Comingore was an actress known for her dramatic film roles.    Comingore's career beginnings included film roles in the Orson Welles drama ""Citizen Kane""  (1941) and the dramatic adaptation ""The Hairy Ape""  (1944) with William Bendix. She then acted in ""Any Number Can Play""  (1949) and ""The Big Night""  (1951) with John Drew Barrymore. Comingore was most recently credited in ""The Battle Over Citizen Kane""  (PBS, 1995-96). Comingore was married to John Crowe and had two children. Comingore passed away in December 1971 at the age of 58."
23,Ray Collins,1889-12-10,"Sacramento, California, USA",https://resizing.flixster.com/NfPoemveLlG5nzaz2VdQG5mmKIk=/218x280/v2/https://flxt.tmsimg.com/assets/77411_v9_ba.jpg,
24,George Coulouris,10/1/1903,"Manchester, England, UK",https://resizing.flixster.com/4lidJkcQhkgD-K5tgHpofLuCBxQ=/218x280/v2/https://flxt.tmsimg.com/assets/85212_v9_ba.jpg,"Distinguished stage actor and character player of the screen who entered films in 1933 and specialized in playing immaculate villains. Coulouris was an original member of Orson Welles' Mercury Theater and appeared as the memorably frosty and forever nonplussed guardian Walter Parks Thatcher in Welles' ""Citizen Kane"" (1941)."
25,William Alland,3/4/1916,"Delmar, Delaware, USA",/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,"A member of Orson Welles' Mercury Theater, Alland played the inquiring reporter in ""Citizen Kane"" (1941) before turning to producing."
26,Paul Stewart,3/13/1908,"New York, New York, USA",https://resizing.flixster.com/M6aYTf__uE8zFJGRmKlM3U1EUxc=/218x280/v2/https://flxt.tmsimg.com/assets/50678_v9_ba.jpg,"Although he had already performed in various theater productions, Paul Stewart's career as an actor received a significant boost when he became a member of Orson Welles's Mercury Theater group in the mid-1930s. In 1938, he was the producer, writer, and studio announcer on Welles's infamous Halloween radio broadcast of ""The War of the Worlds,"" a program that sent a significant portion of the American public into panic because they believed that earth was being attacked by Martians. Like many of the Mercury group, Stewart followed Welles out to Hollywood to make a career in the movies. He co-starred in Welles's ground-breaking cinematic debut, ""Citizen Kane,"" playing newspaper mogul Kane's butler. More work followed, with many directors utilizing Stewart's taciturn, gruff demeanor to good effect in crime and war melodramas. After World War II, Stewart co-starred with Gregory Peck in the aerial combat film ""Twelve O'Clock High,"" played a boxing manager opposite Kirk Douglas in the fight drama ""Champion,"" and starred alongside Dana Andrews and Farley Granger in the film noir ""Edge of Doom."" He also acted with Humphrey Bogart in the hard-hitting crime film ""Deadline - U.S.A.."" Three of his most notable films during the 1950s were ""Appointment with Danger,"" where he played a hitman, ""The Bad and the Beautiful,"" reuniting with Kirk Douglas, and the brutal noir ""Kiss Me Deadly"" playing a venal criminal. In the mid-1950s, Stewart began directing for television, as well as continuing to work as an actor."
27,Erskine Sanford,1885-11-19,"Trinidad, Colorado, USA",/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
28,Herman J. Mankiewicz,1897-11-07,"New York, New York, USA",/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,"Though once the highest paid screenwriter working in Hollywood, Herman J. Mankiewicz struggled later in his career, only to be resurrected by wunderkind Orson Welles, who hired him to write one of the greatest movies ever made, ""Citizen Kane"" (1941). Mankiewicz made a go of Hollywood in the mid-1920s after a career as a reporter and theater critic, becoming the head of the script department at Paramount Pictures. He wrote or collaborated on dozens of pictures during the silent era, and with the advent of sound, produced early Marx Brothers classics like ""Monkey Business"" (1930), ""Horse Feathers"" (1932) and ""Duck Soup"" (1933). He also worked frequently with W.C. Fields, including on ""Million Dollar Legs"" (1932), and was at the peak of his career in the early 1930s. Following this, he had some years of struggle, and Mankiewicz was on the outs with Hollywood for a time, until Welles brought him on to write ""Citizen Kane."" Despite controversy from its unflattering portrayal of William Randolph Hearst and a dispute about writing credit, Mankiewicz won the Academy Award for Best Original Screenplay. He went on to write another Oscar-nominated film, ""The Pride of the Yankees"" (1942), and did enough acclaimed work that he left behind a lasting legacy as one of classic Hollywood's most gifted writers."
29,John Houseman,9/22/1902,"Bucharest, Romania",https://resizing.flixster.com/HxiR4t1V57-2UxR2eZ31uG1vMdE=/218x280/v2/https://flxt.tmsimg.com/assets/32988_v9_bb.jpg,"Widely regarded as one of the most respected innovators of the American stage, John Houseman also enjoyed tremendous success as a producer, screenwriter and, perhaps most remarkable of all, as a character actor in a prolific later career, begun at the age of 70. Forced out of his lucrative international grain business by the Stock Market Crash of 1929, Houseman found a creative outlet alongside wunderkind Orson Welles at the Federal Theater Project. Frequently controversial productions produced and directed by Houseman and Welles included the 1935 ""voodoo"" version of ""Macbeth"" and the historic labor union musical ""The Cradle Will Rock"" in 1936. After forming the Mercury Theater Company - responsible for the infamous ""War of the Worlds"" radio broadcast in 1938 - with Welles, he followed the young auteur to Hollywood, where he made significant contributions to ""Citizen Kane"" (1941). A falling out over ""Kane"" brought an end to Houseman's relationship with the volatile Welles, although a successful career as a film producer kept him in the industry for more than 30 years. Then, just as he was about to retire, the 70-year-old Houseman became one of the most sought-after supporting actors in the years following his Academy Award-winning turn as a crusty, yet conscientious law professor in ""The Paper Chase"" (1973). Over the next 15 years, he would be seen in scores of feature films, television miniseries and commercial campaigns. In a variety of professional roles, Houseman made immeasurable contributions to the mediums of stage, film and television."
30,Bernard Herrmann,6/29/1911,"New York, New York, USA",https://resizing.flixster.com/dgvNqvEwfvWZaP-I0SLcDmR26uQ=/218x280/v2/https://flxt.tmsimg.com/assets/70581_v9_ba.jpg,"Renowned for his short but masterful musical cues, pioneering use of electronics and fiercely independent working methods, Bernard Herrmann is widely regarded as one of the greatest American composers in film history. The Juilliard School graduate began his remarkable career at CBS, firstly as a conductor where he forged a reputation as a champion of new and unknown music, and secondly as a protege of Orson Welles, arranging scores for dozens of the director's radio productions as well as his big-screen masterpiece ""Citizen Kane"" (1941). Herrmann won the only Oscar of his career for his work on ""The Devil and Daniel Webster"" (1941) but it was his nine-year partnership with Alfred Hitchcock, and work on ""Vertigo"" (1958) and ""Psycho"" (1960) in particular, that elevated him into the realm of all-time greats. Herrmann's collaborations with Dynamation pioneer Ray Harryhausen further cemented his status, and although he later rejected Hollywood for its hit-chasing obsession, his music remained omnipresent in a new wave of American cinema helmed by the likes of Brian De Palma and Martin Scorsese. Despite his sudden death the day after completing work on the latter's ""Taxi Driver"" (1976), Herrmann's classical and film compositions continued to make a significant cultural impact throughout the following half-century."
31,Gregg Toland,5/29/1904,"Charleston, Illinois, USA",/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,"During the deeply entrenched days of the Hollywood studio system, cinematographer Gregg Toland's technical and visual innovations set him apart from the flock of doctrinaire technicians and engineers embedded in the formulaic studio factories. He was that rarity among technicians--a cinematographer eager to accept technological advances and apply them creatively to the narrative film form. Toland's talent was readily accepted by the Hollywood establishment, who graced him with a charmed life amid the workmanlike atmosphere pervading most studio productions. Contracted throughout his career to Samuel Goldwyn (although he was lent to other producers), Toland was permitted more freedom than most cinematographers of his time, from being allowed his choice of crew and story properties to converting studio cameras to his own specifications. Working with such outstanding directors as Howard Hawks, William Wyler, John Ford and Orson Welles, Toland was in the unique position of incorporating technological innovations into equally innovative narrative frameworks."
32,Robert Wise,9/10/1914,"Winchester, Indiana, USA",https://resizing.flixster.com/zluJ0dKyL-Dt-hB377475tiDKbU=/218x280/v2/https://flxt.tmsimg.com/assets/83743_v9_ba.jpg,"Veteran Hollywood director Robert Wise was credited with helming 39 feature films from 1944 to 1989, establishing an admirable reputation in such a wide variety of genres as to prompt some critics to unfairly posit that there was no ""Wise style."" At the beginning of his career, he worked with equal facility in horror (""The Curse of the Cat People"") (1944), film noir (""Born to Kill"") (1947), Westerns (""Blood on the Moon"") (1948), sports (""The Set-Up"") (1949) and sci-fi (""The Day the Earth Stood Still"") (1951), demonstrating a visual and narrative dexterity that other filmmakers could only marvel at. After earning his stripes in the 1950s, Wise went on to become one of the most successful and revered directors of the following decade, winning four Oscars for his work on the musical extravaganzas ""West Side Story"" (1961) and ""The Sound of Music"" (1965). As film budgets - and studio expectations - skyrocketed, more personal projects, such as the uncompromising Steve McQueen war drama ""The Sand Pebbles"" (1966), became increasingly difficult for Wise to mount. And although one of his final directorial efforts, the big-budget spectacular ""Star Trek: The Motion Picture"" (1979), may not have been greeted with the unqualified praise the studio had hoped for, it nonetheless demonstrated the work of a master craftsman, still in full possession of his artistic powers. When responding to the charges of some that Wise never left a personal, artistic imprint on his films, the director replied that it was not the director's job to tailor the film to themselves, but rather, to tailor themselves to the film."
33,Van Nest Polglase,1898-08-25,"Brooklyn, New York, USA",/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
34,Perry Ferguson,11/13/1901,"Fort Worth, Texas, USA",/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
35,Darrell Silvera,12/18/1900,"St. Andrews, Jamaica",/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
36,Edward Stevenson,5/13/1906,"Pocatello, Idaho, USA",/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
37,Maurice Seiderman,10/27/1907,"Samara, Russia",/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
38,John Aalberg,1897-04-03,"Chicago, Illinois, USA",/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
39,Russell A. Cully,4/8/1901,"San Pedro, California, USA",/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
40,Vernon L. Walker,1894-05-02,"Detroit, Michigan, USA",/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
41,Judy Garland,6/10/1922,"Grand Rapids, Minnesota, USA",https://resizing.flixster.com/OMfygJ2W2siVuOs3yN1JDb9sCGk=/218x280/v2/https://flxt.tmsimg.com/assets/72714_v9_ba.jpg,"Judy Garland was born Frances Ethel Gumm on June 10, 1922 in Grand Rapids, MN. She was born into a family of vaudevillians and joined her older sisters in performing at their parents' Minnesota theater at a young age. The Gumm family relocated to Lancaster, CA in 1926, and Garland began studying dance properly two years later. Following a few years of performing in stage productions and film shorts with her siblings, a 13-year-old Garland was signed by Metro-Goldwyn-Mayer in 1935. Some of her earliest features included ""Thoroughbreds Don't Cry"" (1937) and ""Love Finds Andy Hardy"" (1938), both of which costarred Mickey Rooney. All the while, Garland began what would become long-term abuse of amphetamines and barbiturates, as provoked by the studio system. Within two years of her breaking out as a solo act, Garland landed what would be the most iconic role of her career: Dorothy in ""The Wizard of Oz"" (1938). The 1940s saw Garland take on more adult-oriented roles, beginning with ""Little Nellie Kelly"" (1940), and experience her first marriage-to composer David Rose in 1941, as well as their divorce three years later. She would go on to star in the smash hit ""Meet Me in St. Louis"" (1944) and experiment with non-musical drama in the critically revered ""The Clock"" (1945). Shortly afterward, she married Vincent Minelli, with whom she'd bear daughter Liza Minelli. In the late 1940s, Garland suffered her first suicide attempt and was hospitalized briefly. The stint preceded her first commercial failure in a decade, ""The Pirate"" (1947), though Garland earned far more successful returns with the following year's ""Easter Parade"" (1948). Nevertheless, Garland's acting slowed in the 1950s, during which time she appeared only in ""Summer Stock"" (1950) and the now iconic ""A Star Is Born"" (1954). Also during this period, Garland married Sidney Luft and gave birth to Lorna Luft. In the 1960s, Garland starred in dramas including ""Judgment at Nuremberg"" (1961) and John Cassavetes' ""A Child Is Waiting"" (1963), and, her final picture, the musical ""I Could Go on Singing"" (1963). She then headlined her own variety musical program ""The Judy Garland Show"" (CBS 1963-64). On June 22, 1969, Garland died at age 47 following a barbiturate overdose."
42,Frank Morgan,1890-06-01,"New York, New York, USA",https://resizing.flixster.com/0ltoBREqnW_0Fae7Ac19-JPFwWc=/218x280/v2/https://flxt.tmsimg.com/assets/80705_v9_ba.jpg,"""Pay no attention to that man behind the curtain,"" exclaimed beloved character actor Frank Morgan during a key moment in ""The Wizard of Oz"" (1939) and his beautifully conveyed expression of embarrassment and desperation perfectly exemplified the capacity he displayed in so much of his work. He first established himself on stage, making regular appearances on Broadway in such major productions as ""Gentlemen Prefer Blondes"" (1926-27) and ""The Band Wagon"" (1931-32). Morgan was already featured in movies by that point, but really hit his stride in the 1930s, earning an Academy Award nomination for ""The Affairs of Cellini"" (1934) and distinguishing himself in notable pictures like ""The Good Fairy"" (1935) and ""The Great Ziegfeld"" (1936). His most famous screen credit, however, was the musical/fantasy classic ""The Wizard of Oz"" (1939), where he was wonderfully memorable in no less than five roles. He displayed excellent dramatic form in ""The Shop Around the Corner"" (1940) and ""The Mortal Storm"" (1940), and a second Oscar nomination followed for ""Tortilla Flat"" (1942). MGM was so pleased with the consistency of Morgan's vibrant and delightful performances that he was with the company from the early 1930s right up until his premature death in 1949. Specializing in characters that were usually a bit befuddled and flustered, but motivated by honorable intentions, Morgan endeared himself to audiences everywhere and remained one of Hollywood's most beloved supporting players long after his passing."
43,Ray Bolger,1/10/1904,"Dorchester, Massachusetts, USA",https://resizing.flixster.com/mgOyWXWbmr2DyxfZubfJ_5ReEas=/218x280/v2/https://flxt.tmsimg.com/assets/80535_v9_ba.jpg,"Although he had racked up numerous stage and screen credits, rubber-legged song-and-dance man Ray Bolger will forever be remembered by children of all ages as the Scarecrow who accompanies Dorothy, the Tin Man and the Cowardly Lion to the Emerald City in search of ""The Wizard of Oz"" in that 1939 MGM classic."
44,Bert Lahr,1895-08-13,"New York, New York, USA",https://resizing.flixster.com/SFByNyfHVwOqO-3mQI-WFQx7GAw=/218x280/v2/https://flxt.tmsimg.com/assets/78189_v9_ba.jpg,"One of the leading burlesque and vaudeville stars who went on to Broadway musical comedies, Bert Lahr had a film career highlighted by his delightful turn as the Cowardly Lion in the now-classic 1939 version of ""The Wizard of Oz."" Born to a German immigrant father in the Yorkville section of Manhattan, the precocious Lahr dropped out of school at age 15 and quickly found success with the Seven Frolics, a children's stage act. Altering his last name from Lahrheim to Lahr, he went on to a successful career as a burlesque comic (performing ""Dutch"" characters, replete with accent) and later in an act paired with his future wife Mercedes Delpino, eventually playing the Palace Theater in 1925. After debuting on Broadway in ""Harry Delmar's Revels"" in 1927, Lahr had his first major success in a stage musical playing the prize fighter hero of ""Hold Everything"" (1928-29). Several other musicals followed, notably ""Flying High"" (1930), Ziegfeld's ""Hot-Cha!"" (1932) and ""The Show Is On"" (1936), which teamed him with Beatrice Lillie in a show conceived and directed by Vincente Minnelli. Audiences loved Lahr's penchant for mugging. twisting his face into comic grotesques and ad-libbing hilarious quips. Often onstage, he would perform routines that became signature pieces, like his famous ""Stop in the name of the fire house"" routine."
45,Jack Haley,1897-08-10,"Boston, Massachusetts, USA",https://resizing.flixster.com/_mzmxYyNctXAHZkrCJ04l8H0YNE=/218x280/v2/https://flxt.tmsimg.com/assets/95028_v9_ba.jpg,"An engaging light comedian whose showbiz roots extended to vaudeville, Jack Haley was not the first choice for what is perhaps his best-known role, the Tin Man seeking a heart in the 1939 MGM classic ""The Wizard of Oz."""
